ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3514005;DOBRADA                       ;114373
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4300807;ANTONIO PRADO                 ;40
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2915804;ITAMBE                        ;13299
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3500004;*;356694
1993;REGIÃO SUDESTE;ES;ÓLEO COMBUSTÍVEL;3202607;ICONHA                        ;600
1993;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2203103;CRISTINO CASTRO               ;43220
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2610000;PALMARES                      ;153300
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2612208;SALGUEIRO                     ;14228
1993;REGIÃO CENTRO-OESTE;MS;ÓLEO COMBUSTÍVEL;5007208;RIO BRILHANTE                 ;61210
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2603608;CAMUTANGA                     ;4000
1993;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2501805;BAYEUX                        ;25916
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2702304;CORURIPE                      ;11271
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4111800;JACAREZINHO                   ;164950
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3159000;SANTANA DO RIACHO             ;48
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3555100;TUPI PAULISTA                 ;14248
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3514307;DOURADO                       ;3000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3550702;SAO SEBASTIAO                 ;1000000
1993;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2102609;CANDIDO MENDES                ;13722
1993;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2203901;FLORIANO                      ;15040
1993;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2512106;POMBAL                        ;57110
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5203600;BRAZABRANTES                  ;36350
1993;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2401401;BAIA FORMOSA                  ;40000
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2601400;BARREIROS                     ;22000
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2608200;JOAQUIM NABUCO                ;25400
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2615304;TIMBAUBA                      ;5000
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2930102;SENHOR DO BONFIM              ;200
1993;REGIÃO NORDESTE;SE;ÓLEO COMBUSTÍVEL;2800209;AQUIDABA                      ;15407
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3523802;ITOBI                         ;40619
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2916835;ITATIM                        ;99214
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3500603;*;400
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3500303;*;600
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3503807;*;10000
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3110800;CAMPANARIO                    ;35530
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3133109;ITANHANDU                     ;11610
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3149803;PERDIZES                      ;72323
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4306406;DOIS IRMAOS                   ;12860
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4321405;TENENTE PORTELA               ;100
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2903903;BOM JESUS DA LAPA             ;200
1993;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1507605;SAO MIGUEL DO GUAMA           ;83480
1993;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2203600;ELISEU MARTINS                ;69907
1993;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2312700;SENADOR POMPEU                ;40879
1993;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2313600;UBAJARA                       ;116789
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3108902;BRASOPOLIS                    ;53600
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3557308;ESTIVA GERBI                  ;334010
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3101703;ALMENARA                      ;12320
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2701006;BOCA DA MATA                  ;5000
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2708507;SAO LUIS DO QUITUNDE          ;15000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3541606;PROMISSAO                     ;10000
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2926300;RIACHAO DO JACUIPE            ;13090
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4106300;CORBELIA                      ;41990
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3550503;*;1000
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3111105;CAMPINA VERDE                 ;12083
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3301605;DUAS BARRAS                   ;200
1993;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1503502;IRITUIA                       ;25540
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3300900;CAMBUCI                       ;10440
1993;REGIÃO CENTRO-OESTE;MS;ÓLEO COMBUSTÍVEL;5008000;TERENOS                       ;10230
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2705109;MATRIZ DE CAMARAGIBE          ;14460
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5217601;PLANALTINA                    ;11960
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3501604;AMERICANA                     ;104506100
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3518809;GUARULHOS                     ;64821009
